城市名,变量,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
城市A,人均GDP,13525.44,13802.71,13554.4,13908.99,14285.33,14919.39,15242.61,16156.93,16555.14,13795.22,,,
城市B,人均GDP,54167.16,55315.33,55776.86,56343.06,56755.72,57424.25,57764.07,58561.19,58923.21,58020.45,,,
城市C,人均GDP,44433.13,44531.97,44281.57,44227.38,44178.05,44572.32,45325.94,46269.48,46717.72,43610.53,,,
城市D,人均GDP,5149.03,5192.99,5425.8,5508.41,5500.31,5272.53,5229.07,5261.74,5346.78,5072.9,,,
城市E,人均GDP,315.66,319.44,324.83,328.15,305.55,294.22,286.43,281.97,278.32,270.69,,,
城市F,人均GDP,39913.04,39959.5,39954.25,40405.17,40991.81,41301.41,41809.75,42364.01,42887.66,39959.53,,,
城市G,人均GDP,989.77,1008.77,1051.55,1087.72,1076.8,1082.45,1112.82,1155.31,1201.56,1214.66,,,
城市H,人均GDP,602.58,622.52,639.23,647.43,653.33,672.36,693.73,719.5,739.18,733.13,,,
城市I,人均GDP,1024.02,1078.29,1129.99,1184.86,1248.45,1322.69,1403.86,1498.39,1603.95,1625.67,,,
城市J,人均GDP,6461.11,6521.82,6579.79,6742.06,7055.94,7377.06,7691.44,7986.76,8340.31,8049.82,,,
